ID	post_title	post_name	year	month	day
2812	Mechanical Gear Car	mechanical-gear-car	2022	1	3
2809	3DU Borehole Cleaning Aid	3du-borehole-cleaning-aid	2022	1	3
2803	AA+AAA Battery Holder	aaaaa-battery-holder-2	2022	1	3
2797	Plant Holder	plant-holder	2022	1	3
2794	Tools Box	tools-box	2022	1	3
2789	MacBook Air – Battery Replacement	macbook-air-battery-replacement	2022	1	3
2785	iPhone XR – Display Combo Replacement	iphone-xr-display-combo-replacement	2022	1	3
2776	Vivo Y81 – Display Combo Replacement	vivo-y81-display-combo-replacement	2022	1	3
2778	Vivo Y95 - Software Unlocking	vivo-y95-software-unlocking	2022	1	3
2770	Samsung Galaxy M31 - Display Combo Replacement	samsung-galaxy-m31-display-combo-replacement	2022	1	3
2768	One Plus 6T – Display Combo Replacement	one-plus-6t-display-combo-replacement	2022	1	3
2762	Redmi Note 5 - Battery Replacement	redmi-note-5-battery-replacement-2	2022	1	3
2758	Redmi 9 Prime – Dead Condition	redmi-9-prime-dead-condition	2022	1	3
2757	Lenovo Think Pad - Windows Installation	lenovo-think-pad-windows-installation	2022	1	3
2739	Lenovo Laptop - HDD Replacement	lenovo-laptop-hdd-replacement	2022	1	3
2751	iPhone 6S – Display & Battery Replacement	iphone-6s-display-battery-replacement	2022	1	3
2747	Vivo Y19 – Display Combo Replacement	vivo-y19-display-combo-replacement	2022	1	3
2743	One Plus 5T – Display Glass Replacement	one-plus-5t-display-glass-replacement	2022	1	3
2731	iPhone 13 Pro Max – Back Glass Replacement	iphone-13-pro-max-back-glass-replacement	2022	1	3
2730	iPhone 6s- Battery Replacement	redmi-note-5-battery-replacement	2022	1	3
2726	Hp Laptop - Ubuntu Installation	hp-laptop-ubuntu-installation	2022	1	3
2723	Filament Cutter	filament-cutter	2022	1	2
2720	Color – Guessing Game	color-guessing-game	2022	1	2
2717	HEX – KEY Holder	hex-key-holder	2022	1	2
2714	Wire - Stripper	wire-stripper	2022	1	2
2710	Redmi Note 7 Pro - Battery Replacement	redmi-note-7-pro-battery-replacement	2022	1	1
2701	iPhone 6s - Display Combo Replacement	iphone-6s-display-combo-replacement-5	2022	1	1
2697	iPhone 6s- Battery Replacement	iphone-6s-battery-replacement-2	2022	1	1
2693	Mi Note 7 pro - Battery Replacement	mi-note-7-pro-battery-replacement	2022	1	1
2689	SECRET MESSAGE MACHINE	secret-message-machine	2022	1	1
2686	SPICE - LCA TEJAS MISSILE	spice-lca-tejas-missile	2022	1	1
2683	R73 - LCA TEJAS MISSILE	r73-lca-tejas-missile	2022	1	1
2680	FILE HANDLE	file-handle	2022	1	1
2677	HUMMINGBIRD WALL SCULPTURE 2D	hummingbird-wall-sculpture-2d	2022	1	1
2674	KEY CAP REMOVER	key-cap-remover-2	2022	1	1
2671	2D Spider & Web Wall Art	2d-spider-web-wall-art-2	2022	1	1
2668	2D Spider & Web Wall Art	2d-spider-web-wall-art	2022	1	1
2665	Small Screw Driver Handle	small-screw-driver-handle	2022	1	1
